candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
monocyte_macrophage → H2-K1 → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4459592313358105	0.8426391074250743	False	False	False	True	True	False	False	True	interaction-supported	1.4459592313358105
melanoma → Calr → Itgav → CD8	extracellular	cell-cell / extracellular signal	0.4456753981968226	0.5752577049080831	False	False	False	True	True	False	False	True	interaction-supported	1.4456753981968227
dendritic → H2-K1 → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4444915232621477	0.7292017887799227	False	False	False	True	True	False	False	True	interaction-supported	1.4444915232621476
B_cell → B2m → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4443687505663802	0.9505946096027544	False	False	False	True	True	False	False	True	interaction-supported	1.4443687505663803
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4440845159520998	0.0567530674287983	False	True	False	True	True	False	False	True	ADT-supported	1.4440845159520999
monocyte_macrophage → H2-K1 → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.443931447830042	0.8426391074250743	False	False	False	True	True	False	False	True	interaction-supported	1.443931447830042
monocyte_macrophage → Cd14 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4438077422932567	0.1182534859381914	False	False	False	True	True	False	False	True	interaction-supported	1.4438077422932567
T_cell → H2-K1 → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4437393534613997	0.5879041139820904	False	False	False	True	True	False	False	True	interaction-supported	1.4437393534613996
T_cell → B2m → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4429824580252059	0.9069494113736972	False	False	False	True	True	False	False	True	interaction-supported	1.442982458025206
monocyte_macrophage → H2-K1 → Cd8b1 → CD8	extracellular	cell-cell / extracellular signal	0.4424731118826204	0.8426391074250743	False	False	False	True	True	False	False	True	interaction-supported	1.4424731118826204
dendritic → H2-K1 → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4423677473290527	0.7292017887799227	False	False	False	True	True	False	False	True	interaction-supported	1.4423677473290528
fibroblast → B2m → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4421074238765887	0.9196758629667808	False	False	False	True	True	False	False	True	interaction-supported	1.4421074238765887
T_cell → H2-K1 → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4417774716575898	0.5879041139820904	False	False	False	True	True	False	False	True	interaction-supported	1.4417774716575897
T_cell → H2-K1 → Cd8b1 → CD8	extracellular	cell-cell / extracellular signal	0.4414304380076256	0.5879041139820904	False	False	False	True	True	False	False	True	interaction-supported	1.4414304380076257
fibroblast → H2-K1 → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4413631751777986	0.8843396456705843	False	False	False	True	True	False	False	True	interaction-supported	1.4413631751777987
melanoma → Lgals1 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4413325087199417	0.574564995959852	False	False	False	True	True	False	False	True	interaction-supported	1.4413325087199418
T_cell → B2m → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4410534520458951	0.9069494113736972	False	False	False	True	True	False	False	True	interaction-supported	1.441053452045895
NK → Lgals1 → Ptprc → CD4	extracellular	cell-cell / extracellular signal	0.4406649364653107	0.5423389545011166	False	False	False	True	True	False	False	True	interaction-supported	1.4406649364653106
