TF	lineage	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	FDR	n_strata	direction_consistency
Nfatc1	CD4	48h_vs_12h	48	12	-0.22842796707541727	0.5182901187636019	0.8017367813046484	4	0.5
Nrf1	CD4	48h_vs_12h	48	12	0.027079314430795313	0.5056089046451471	0.8017367813046484	4	0.75
Sox2	CD4	48h_vs_12h	48	12	-0.10921047172290217	0.5318451915585292	0.8017367813046484	4	0.5
Srebf2	CD4	48h_vs_12h	48	12	0.07018550026267252	0.5191436933824889	0.8017367813046484	4	0.5
Tead4	CD4	48h_vs_12h	48	12	0.10014479198144013	0.5123093915852003	0.8017367813046484	4	0.5
Tfap4	CD4	48h_vs_12h	48	12	-0.013257865267089322	0.514458236864395	0.8017367813046484	4	0.75
Zfp217	CD4	48h_vs_12h	48	12	-0.10773818750730317	0.4884797896633265	0.8017367813046484	4	0.75
Zfp384	CD4	48h_vs_12h	48	12	-0.07327460031770593	0.528767013926173	0.8017367813046484	4	0.5
E2f5	CD4	48h_vs_12h	48	12	-0.057388111542627414	0.5389050349982553	0.8066923739091421	4	0.75
Sp2	CD4	48h_vs_12h	48	12	-0.12635807533653934	0.5404572670084351	0.8066923739091421	4	0.75
Fli1	CD4	48h_vs_12h	48	12	-0.06984704784582563	0.5454674839591309	0.8101796452922385	4	0.75
Deaf1	CD4	48h_vs_12h	48	12	0.07369076708377605	0.5511271858375966	0.8145928649209354	4	0.75
Fos	CD4	48h_vs_12h	48	12	-0.24314007551090183	0.5574059388920312	0.8159130409868861	4	0.5
Ppara	CD4	48h_vs_12h	48	12	-0.04923133241791926	0.5568512592970528	0.8159130409868861	4	0.75
Srebf1	CD4	48h_vs_12h	48	12	0.07197704001343383	0.5641790989815441	0.821857052843307	4	0.5
Clock	CD4	48h_vs_12h	48	12	-0.15100309293620884	0.5808626006545856	0.8231744046494626	4	0.5
Creb3l1	CD4	48h_vs_12h	48	12	0.096344858846995	0.5759242775936512	0.8231744046494626	4	0.5
Ebf1	CD4	48h_vs_12h	48	12	-0.21245778133919702	0.5910188428996668	0.8231744046494626	4	0.75
Elk1	CD4	48h_vs_12h	48	12	0.020100495369017694	0.5829437962670889	0.8231744046494626	4	0.5
Klf9	CD4	48h_vs_12h	48	12	0.0052285172362302006	0.5857661996275426	0.8231744046494626	4	0.5
Stat4	CD4	48h_vs_12h	48	12	0.004603430004781388	0.5922508917940028	0.8231744046494626	4	0.5
Tcf12	CD4	48h_vs_12h	48	12	-0.08531114554802222	0.5705844238450886	0.8231744046494626	4	0.5
Trp53	CD4	48h_vs_12h	48	12	-0.2920127770186252	0.5678261292476758	0.8231744046494626	4	0.75
Yy1	CD4	48h_vs_12h	48	12	0.044753323170952576	0.5916891360268715	0.8231744046494626	4	0.5
Zbtb7a	CD4	48h_vs_12h	48	12	-0.10174779404075517	0.5850826812653235	0.8231744046494626	4	0.5
Gata4	CD4	48h_vs_12h	48	12	-0.06504798013247635	0.5972357280143777	0.8263124456089336	4	0.75
Foxp2	CD4	48h_vs_12h	48	12	-0.15904314799699465	0.6077305969173804	0.8320232408344138	4	0.75
Meis2	CD4	48h_vs_12h	48	12	-0.05133607433820756	0.6260486387318291	0.8320232408344138	4	0.5
Mynn	CD4	48h_vs_12h	48	12	-0.03707526458702238	0.6135882197297265	0.8320232408344138	4	0.75
Pou2f2	CD4	48h_vs_12h	48	12	-0.16877610978893867	0.6275351303400133	0.8320232408344138	4	0.5
Sox13	CD4	48h_vs_12h	48	12	0.06364217949046617	0.607911128247342	0.8320232408344138	4	0.75
Sp4	CD4	48h_vs_12h	48	12	-0.0008186092219158605	0.6210683985417114	0.8320232408344138	4	0.75
Twist1	CD4	48h_vs_12h	48	12	0.15934416089925	0.6284879103165898	0.8320232408344138	4	0.75
Zfx	CD4	48h_vs_12h	48	12	-0.08670229296148638	0.6258316861926929	0.8320232408344138	4	0.75
Zfy2	CD4	48h_vs_12h	48	12	-0.08670229296148638	0.6258316861926929	0.8320232408344138	4	0.75
Zkscan1	CD4	48h_vs_12h	48	12	-0.016215725558936748	0.6288228453831048	0.8320232408344138	4	0.5
Gabpa	CD4	48h_vs_12h	48	12	-0.03709983859586796	0.6350775834063227	0.8366456859657208	4	0.75
Six2	CD4	48h_vs_12h	48	12	-0.1529491856077701	0.6384509170071735	0.8374486054249938	4	0.5
Atf4	CD4	48h_vs_12h	48	12	-0.08133216576282493	0.650704961794087	0.8415571792904152	4	0.5
Creb3	CD4	48h_vs_12h	48	12	-0.11635781058864665	0.6520978037349192	0.8415571792904152	4	0.75
Ehf	CD4	48h_vs_12h	48	12	-0.0447148253530948	0.6457117348979229	0.8415571792904152	4	0.5
